"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"mapedit","mapedit","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.0",NA,"R (>= 3.1.0)","dplyr, htmltools (>= 0.3), htmlwidgets, jsonlite, leafem,
leaflet (>= 2.0.1), leaflet.extras (>= 1.0), leafpm, mapview,
methods, miniUI, raster, scales, sf (>= 0.5-2), shiny, sp",NA,"crayon","geojsonio","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"mapproj","mapproj","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.11",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.3.2"
"maps","maps","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.4.2",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"maptiles","maptiles","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.0",NA,"R (>= 3.5.0)","sf (>= 0.9-5), curl, digest, graphics, grDevices, png, terra,
tools, slippymath, utils",NA,"covr, tinytest",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"maptools","maptools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-8",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"mapview","mapview","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.11.2",NA,"methods, R (>= 3.6.0)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster (>= 3.6.3), satellite, scales
(>= 0.2.5), servr, sf, sp",NA,"covr, knitr, later, leaflet.extras2, leafsync, lwgeom,
mapdeck, plainview, poorman, rmarkdown, rstudioapi, s2, stars,
tinytest, webshot, webshot2",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"markdown","markdown","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.13",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"MASS","MASS","C:/Users/bdav_/AppData/Local/R/win-library/4.3","7.3-60","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"Matrix","Matrix","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6-1","recommended","R (>= 3.5.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.3.1"
"MatrixModels","MatrixModels","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"matrixStats","matrixStats","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.0",NA,"R (>= 2.12.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.3"
"mclust","mclust","C:/Users/bdav_/AppData/Local/R/win-library/4.3","6.1.1",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"memisc","memisc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.99.31.7",NA,"R (>= 3.3.0), lattice, stats, methods, utils, MASS","grid, data.table, yaml, jsonlite",NA,"splines, knitr, rmarkdown, sandwich","AER, car, eha, lme4, ordinal, simex, tibble, haven","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"memoise","memoise","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"meteor","meteor","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-5",NA,NA,"methods, Rcpp (>= 0.12.4)","Rcpp","terra",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"Metrics","Metrics","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.4",NA,NA,NA,NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"mgcv","mgcv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"microbenchmark","microbenchmark","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.10",NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"mime","mime","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"miniUI","miniUI","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"minqa","minqa","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"misc3d","misc3d","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"modeldata","modeldata","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.0",NA,"R (>= 3.4)","dplyr, MASS, purrr, rlang, tibble",NA,"covr, testthat (>= 3.0.0), ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"ModelMetrics","ModelMetrics","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"modelr","modelr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"modeltools","modeltools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"moveHMM","moveHMM","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9",NA,"CircStats","Rcpp, boot, MASS, sp, geosphere, ggplot2, ggmap, numDeriv","Rcpp, RcppArmadillo","testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"multcomp","multcomp","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4-26",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"multicool","multicool","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"munsell","munsell","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"mvtnorm","mvtnorm","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-0",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"nanoarrow","nanoarrow","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.0.1",NA,NA,NA,NA,"arrow (>= 9.0.0), bit64, blob, jsonlite, hms, rlang, testthat
(>= 3.0.0), tibble, vctrs, withr",NA,"Apache License (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"ncdf4","ncdf4","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.23",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"nimble","nimble","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.1",NA,"R (>= 3.1.2)","methods,igraph,coda,R6,pracma,numDeriv",NA,"testthat,mcmcse",NA,"BSD_3_clause + file LICENSE | GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"nimbleCarbon","nimbleCarbon","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.5",NA,"R (>= 3.5.0), nimble (>= 0.12.0)","rcarbon,graphics,grDevices,utils,snow,doSNOW,foreach,coda",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"nlme","nlme","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-166","recommended","R (>= 3.6.0)","graphics, stats, utils, lattice",NA,"MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"nloptr","nloptr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"nnet","nnet","C:/Users/bdav_/AppData/Local/R/win-library/4.3","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"nortest","nortest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"numDeriv","numDeriv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"nycflights13","nycflights13","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.3.2"
"openintro","openintro","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.0",NA,"R (>= 2.10), airports, cherryblossom, usdata","ggplot2 (>= 2.2.1), graphics, readr, rmarkdown, tibble",NA,"broom, dplyr, forcats, knitr, lubridate, scales, testthat (>=
3.0.0), tidyr, tidytext, stringr, maps",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"openssl","openssl","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.2.1",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"openxlsx","openxlsx","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.2.7",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","curl, formula.tools, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"packrat","packrat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"paletteer","paletteer","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"palmerpenguins","palmerpenguins","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"parallelly","parallelly","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.38.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.3.3"
"parameters","parameters","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.22.1",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), datawizard (>= 0.10.0), insight (>=
0.20.2), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom, cAIC4,
car, carData, cgam, ClassDiscovery, clubSandwich, cluster,
coda, coxme, cplm, dbscan, domir (>= 0.2.0), drc, DRR,
effectsize (>= 0.8.6), EGAnet, emmeans (>= 1.7.0), epiR,
estimatr, factoextra, FactoMineR, faraway, fastICA, fixest,
fpc, gam, gamlss, gee, geepack, ggeffects (>= 1.3.2), ggplot2,
GLMMadaptive, glmmTMB, GPArotation, gt, haven, httr, Hmisc,
ivreg, knitr, lavaan, lfe, lm.beta, lme4, lmerTest, lmtest,
logistf, logspline, lqmm, M3C, marginaleffects (>= 0.20.1),
MASS, Matrix, mclogit, mclust, MCMCglmm, mediation, merDeriv,
metaBMA, metafor, mfx, mgcv, mice, mmrm, multcomp, MuMIn,
NbClust, nFactors, nestedLogit, nlme, nnet, openxlsx, ordinal,
panelr, pbkrtest, PCDimension, performance (>= 0.12.0), plm,
PMCMRplus, poorman, posterior, PROreg (>= 1.3.0), pscl, psych,
pvclust, quantreg, randomForest, RcppEigen, rmarkdown, rms,
rstanarm, sandwich, see (>= 0.8.1), serp, sparsepca, survey,
survival, svylme, testthat (>= 3.2.1), tidyselect, tinytable
(>= 0.1.0), TMB, truncreg, vdiffr, VGAM, withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"partykit","partykit","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2-22",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"patchwork","patchwork","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"pbapply","pbapply","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pbkrtest","pbkrtest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.3",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy",NA,"markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"PBSmapping","PBSmapping","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.73.4",NA,"R (>= 3.5.0)",NA,NA,"foreign, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"performance","performance","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.12.2",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), insight (>= 0.20.2), datawizard (>=
0.10.0), stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dbscan, DHARMa, estimatr, fixest, flextable, forecast,
ftExtra, gamm4, ggplot2, glmmTMB, graphics, Hmisc, httr2, ICS,
ICSOutlier, ISLR, ivreg, lavaan, lme4, lmtest, loo, MASS,
Matrix, mclogit, mclust, metadat, metafor, mgcv, mlogit,
multimode, nestedLogit, nlme, nonnest2, ordinal, parallel,
parameters (>= 0.21.6), patchwork, pscl, psych, quantreg,
qqplotr (>= 0.0.6), randomForest, RcppEigen, rempsyc,
rmarkdown, rstanarm, rstantools, sandwich, see (>= 0.8.2),
survey, survival, testthat (>= 3.2.1), tweedie, VGAM, withr (>=
3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"permute","permute","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pillar","pillar","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pixmap","pixmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-13",NA,NA,"methods, graphics, grDevices",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"pkgbuild","pkgbuild","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.4",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"pkgconfig","pkgconfig","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgdown","pkgdown","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.0",NA,"R (>= 3.6)","bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), digest, downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0),
httr2 (>= 1.0.0), jsonlite, openssl, purrr (>= 1.0.0), ragg,
rlang (>= 1.1.0), rmarkdown (>= 2.27), tibble, whisker, withr
(>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr, lifecycle, magick, methods, pkgload (>=
1.0.2), quarto, rsconnect, rstudioapi, rticles, sass, testthat
(>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"pkgload","pkgload","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.0",NA,"R (>= 3.4.0)","cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"PKI","PKI","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-14",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"plot3D","plot3D","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.1",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.3.3"
"plotly","plotly","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.10.4",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"plotrix","plotrix","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.8-4",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"plyr","plyr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"png","png","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"polspline","polspline","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.25",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"polyclip","polyclip","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.10-7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.3.3"
"polynom","polynom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pracma","pracma","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.4.4",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"praise","praise","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"predicts","predicts","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-11",NA,"R (>= 3.5.0), methods, terra",NA,NA,"disdat, rJava",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"prettymapr","prettymapr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.5",NA,NA,"digest, rjson, httr, plyr",NA,"raster, rosm, sp",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"prettyunits","prettyunits","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"prismatic","prismatic","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.2",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, cli, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"pROC","pROC","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.18.5",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"proceduralnames","proceduralnames","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.2",NA,"R (>= 2.10)",NA,NA,"testthat, covr",NA,"Apache License (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"processx","processx","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.8.4",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"prodlim","prodlim","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2024.06.25",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"productplots","productplots","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.1",NA,NA,"plyr, ggplot2",NA,"reshape2, testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"profvis","profvis","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"progress","progress","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
